No,Nama Barang,Merk,Tipe,Seri Number,Tahun,Jumlah,Ruang,Keterangan
124,Trolly emergency,- Nutritex,,,2019,1,IGD,TIDAK DI KALIBRASI
125,Trolly Tindakan,-,-,-,-,3,IGD,TIDAK DI KALIBRASI
126,Urinal  plastik,-,-,-,-,1,IGD,TIDAK DI KALIBRASI
127,USG 2 Dimensi,-,-,-,-,1,IGD,SUDAH DIKALIBRASI 
128,Ventilator Mobile,Imtmedical,-,-,2022,-,IGD,SUDAH DIKALIBRASI 
129,HRF,,,,,1,IGD JIWA,2
130,ECT,,,,,1,IGD JIWA,1
131,Ambu Bag,Ambu,Moretty,-,,1,Irna Anak,TIDAK DI KALIBRASI
132,Ambu Bag,Greatcare,,-,,3,Irna Anak,TIDAK DI KALIBRASI
133,Bed Anak,,YE680E,,,15,Irna Anak,TIDAK DI KALIBRASI
134,Bed Dewasa,Paramount,Oxy 9 Wave,-,,5,Irna Anak,TIDAK DI KALIBRASI
135,Bedside Cabinet,Paramount,11.82.00.07.03.1022.0809,-,,14-Aug,Irna Anak,TIDAK DI KALIBRASI
136,Electric suction,SANI ASPIMED,, 11.3200070320130829,2023,2,Irna Anak,TIDAK DI KALIBRASI
137,Infus Pump,B Braun,Innocare-T12,-  024043200355235,2013,2,Irna Anak,"1 BAIK, 1 RUSAK"
138,Infus Pump,Frensius Kobi,BeneHeart-12A,2.40432E+16,2013,2,Irna Anak,RUSAK
139,Monitor lengkap,Dixion,Stroom 5900-05,02.08.0101.05.009,2023,2,Irna Anak,1 Baik
140,Nebulizer,OMRON,SN703A-D,23495783,2018,1,Irna Anak,Error (DI IPSRS)
141,Nebulizer,OMRON,SN703A-D,20121100022AF,2013,1,Irna Anak,Baik
142,Oksigen Konsentrat,YUWELL,,,2020,1,Irna Anak,Baik
143,Pulse oximeter,Bionet,Stroom 5900-05,11.32.00.07.03.2023.05.30,2023,2,Irna Anak,Baik
144,Regulator O2,-,,-,,4,Irna Anak,Baik
145,Regulator oksigen central,RMS,Optima PT,-,,18,Irna Anak,Baik
146,Sekerem,-,NE U 17,-,,2,Irna Anak,TIDAK DI KALIBRASI
147,Syringe Pump,B Braun,Innocare-T12,24043200323235,2013,1,Irna Anak,Baik
148,Tensimeter automatic ,YUWELL,Stroom 5900-05,11.32.0007.03.1022.08.09,2023,2,Irna Anak,Kurang Baik
149,Tiang infus,,Electric Suction Apparatus SN 703A-D,-,,12,Irna Anak,TIDAK DI KALIBRASI
150,Timbangan Berat Badan Dewasa,TESENA,Ne – C 900,-,2018,1,Irna Anak,TIDAK DI KALIBRASI
151,Trolly emergency,Mak,Phlegm Suction 7E-A,208011047002,2013,1,Irna Anak,TIDAK DI KALIBRASI
152,Alat pengukur gula darah,Gluco Dr.,AGM-4000,❖    SANM094-23-014,2020,1,Irna Bedah,TIDAK DI KALIBRASI
153,Ambu Bag,Ambu,-,-,,1,Irna Bedah,TIDAK DI KALIBRASI
154,Ambu Bag, Greatcar,-,-,,4,Irna Bedah,TIDAK DI KALIBRASI
155,Baskom Stainles,-,,,2018,1,Irna Bedah,TIDAK DI KALIBRASI
156,Bed dengan Bedrails,Paramount,,,,13,Irna Bedah,TIDAK DI KALIBRASI
157,Bed dengan Bedrails,Paramount,,,,1,Irna Bedah,TIDAK DI KALIBRASI
158,Bed Tanpa bedrails,Paramount,,,,5,Irna Bedah,TIDAK DI KALIBRASI
159,Bedside Cabinet,Paramount/ Tanpa merk,,,2019,,Irna Bedah,TIDAK DI KALIBRASI
160,Defibrilator,Cmos drake,Life400plus futura,,2018,1,Irna Bedah,Baik
161,Electric suction,SANI,Electric Suction Apparatus SN 703A-,918038848,2023,2,Irna Bedah,Baik
162,Emergency kit,-,,,,,Irna Bedah,TIDAK DI KALIBRASI
163,Gunting perband,-,,,,,Irna Bedah,TIDAK DI KALIBRASI
164,Infrared Forehead,Onehealth,YHW-S,2016.07.EA16GC00113,,1,Irna Bedah,Baik
165,Infus Pump,Precionmed,Accu Drip 10,❖    SANM094-23-002,2023,1,Irna Bedah,Baik
166,Kasur Matras,-,,,,19,Irna Bedah,TIDAK DI KALIBRASI
167,Meja mayo/ Meja tindakan,Top,-,-,,2,Irna Bedah,TIDAK DI KALIBRASI
168,Mesin EKG 12 Lead,Heartscreen,Heart Screen 112,22239244,2023,1,Irna Bedah,TIDAK DI KALIBRASI
169,"Minor Set GV terdiri dari (Gunting jaringan, pinset anatomi, pinset",-,,"Medicom, Hebu, Inox, BJB Unicef, Lawton",2018,,Irna Bedah,TIDAK DI KALIBRASI
170,Monitor lengkap,Dixion,1 Storm 5900-05,❖    05/09/2205/5200,2023,2,Irna Bedah,Baik
171,Mortir/Lumpang Obat,-,,,2022,1,Irna Bedah,TIDAK DI KALIBRASI
172,Neirbekken / Bengkok,-,,,,,Irna Bedah,TIDAK DI KALIBRASI
173,Pispot stainles,-,,,,,Irna Bedah,TIDAK DI KALIBRASI
174,Pulse oximeter,Bionet,Oxy 9 Wave,❖    05/09/2205/5186,2023,2,Irna Bedah,Baik
175,Regulator oksigen central,RMS,,,,18,Irna Bedah,TIDAK DI KALIBRASI
176,Sekerem,,,,,2,Irna Bedah,TIDAK DI KALIBRASI
177,Stetoskop dewasa,GEA,-,AD 000 123 0061,2017,2,Irna Bedah,TIDAK DI KALIBRASI
178,Tensimeter automatic dewasa,Confort fora,P60,11.32.00.07.03.2023.05.3,2025,1,Irna Bedah,Baik
179,Termometer Digital,HuBDIC,FS-300,-,,1,Irna Bedah,Rusak
180,Termometer Manual,Hexacare,-,-,,1,Irna Bedah,Baik
181,Tiang infus roda,Mak,,,,11,Irna Bedah,TIDAK DI KALIBRASI
182,Tiang infus roda,Mak,,,,4,Irna Bedah,TIDAK DI KALIBRASI
183,Tiang infus tanpa roda,Mak,,,,4,Irna Bedah,TIDAK DI KALIBRASI
184,Timbangan Berat Badan,Laica,,,,1,Irna Bedah,Baik
185,Torniquet,-,,,2019,2,Irna Bedah,TIDAK DIKALIBRASI
186,Trolly emergency,Mak,,C413.0630,,1,Irna Bedah,TIDAK DIKALIBRASI
187,Trolly Tindakan ( GV),Mak,-,-,,1,Irna Bedah,TIDAK DIKALIBRASI
188,Tromol kecil,Health,,,,1,Irna Bedah,TIDAK DIKALIBRASI
189,Tromol sedang,Cremona,,,2019,,Irna Bedah,TIDAK DIKALIBRASI
190,Urinal stainles / plastik,,,,,,Irna Bedah,TIDAK DIKALIBRASI
191,Alat GDS,"Gluco Dr.Auto""A",ACM-4000,GC21AA02027,,1,Irna Penyakit Dalam,TIDAK DIKALIBRASI
192,Ambu Bag,Ambu,,,,1,Irna Penyakit Dalam,TIDAK DIKALIBRASI
193,Ambu Bag,Ambu,,,,1,Irna Penyakit Dalam,TIDAK DIKALIBRASI
194,Ambu Bag - Adult,GreatCare,,GCR/03/01,2023,1,Irna Penyakit Dalam,TIDAK DIKALIBRASI
195,Ambu Bag - Infant,GreatCare,,GCR/03/05,2023,1,Irna Penyakit Dalam,TIDAK DIKALIBRASI
196,Ambu Bag - Paediatrk,GreatCare,,GCR/03/03,2023,1,Irna Penyakit Dalam,TIDAK DIKALIBRASI
197,Defibrilator/DC Shock,Inomed,Kardio AID 200B,16206447,2017,1,Irna Penyakit Dalam,RUSAK
198,EKG ,Mindray,BeneHeart-12A,FX 17003815,2021,1,Irna Penyakit Dalam,Baik 
199,Film Vewer,,,,,1,Irna Penyakit Dalam,Baik (Nursestation LT4)
200,Infuse Pump,Precisionemed IMN,Accu Drip 10,AD 001230070,2023,1,Irna Penyakit Dalam, Baik
201,Infuse Pump,Precisionemed IMN,Accu Drip 10,AD 001230062,2023,1,Irna Penyakit Dalam,Baik (IPSRS 11/8/2024)
202,Infuse Pump,Presenius Kabi,Optima PT IS,027390/23495781,2018,1,Irna Penyakit Dalam,Rusak (IPSRS)
203,Infuse Pump,Presenius Kabi,Optima PT IS,027390/23495699,2018,1,Irna Penyakit Dalam,Rusak (Pindahan Isolasi)
204,Infuse Pump,Mindray,Benefusion VP5 X,SK 10308913,2021,1,Irna Penyakit Dalam,Baik (Hilang cantolan)
205,Infuse Pump,,,19328898,,1,Irna Penyakit Dalam,Rusak (IPSRS)
206,Infuse Pump,,,19328897,,1,Irna Penyakit Dalam,Baik (IPSRS)
207,Infuse Pump,Mindray,Benefusion VP5X,,,1,Irna Penyakit Dalam, Baik
208,Infusion Stand,,,,,19,Irna Penyakit Dalam,TIDAK DIKALIBRASI 
209,Monitor Pasien,Dixion,Stroom 5900-05,50922055173,2023,1,Irna Penyakit Dalam,Manset dan Colokan Spo2 Rusak
210,Monitor Pasien,Dixion,Stroom 5900-05,50922055188,2023,1,Irna Penyakit Dalam,Baik 
211,Monitor Pasien,Dixion,Stroom 5900-05,50922055197,2023,1,Irna Penyakit Dalam,Manset Tensi Rusak
212,Monitor Pasien,Philips,,DG 671R3911,2020,1,Irna Penyakit Dalam,Manset Tensi Rusak
213,Monitor Pasien,Inomed,Innocare-T12,Q068A050007,2021,1,Irna Penyakit Dalam,"BAIK, Manset Tensi Rusak"
