Unnamed: 0,No.,Nama Barang,Merk,Tipe,Serial Number,Tahun,Jumlah,Cara Perolehan,Nilai Perolehan,Ruangan,Lokasi Saat Ini,Kondisi Alat,ASPAK,KIB,NON KIB dan ASPAK,KETERANGAN
,,Timbangan Dewasa Manual,SANI,-,,2023,1,,,IGD,,BAIK,,,False,
,,Trolly emergency,- Mak,-,-,-,1,,,IGD,,BAIK,,,False,
,,Trolly emergency,- Nutritex,,,2019,1,,,IGD,,,,,False,
,,Trolly Tindakan,-,-,-,-,3,,,IGD,,BAIK,,,False,
,,Urinal plastik,-,-,-,-,1,,,IGD,,RUSAK BERAT,,,False,
,,USG 2 Dimensi,-,-,-,-,1,,,IGD,,BAIK,,,False,
,,Ventilator Mobile,Imtmedical,-,-,2022,-,,,IGD,,BAIK,,,False,
,,HRV,,,,,1,,,G. Penunjang,,BAIK,,,False,
,,ECT,,,,,1,,,G. Penunjang,,BAIK,,,False,
,,TMS,,,,2025,1,,,G. Penunjang,,BAIK,,,False,
,,EEG,,,,2025,1,,,G. Penunjang,,BAIK,,,False,
,,Neurofeed back,,,,2025,1,,,G. Penunjang,,BAIK,,,False,
,,PSG,,,,2025,1,,,G. Penunjang,,BAIK,,,False,
,,Ambu Bag,Ambu,Moretty,-,,1,,,Irna Anak,,BAIK,,,False,
,,Ambu Bag,Greatcare,,-,,3,,,Irna Anak,,BAIK,,,False,
,,Bed Anak,,YE680E,,,15,,,Irna Anak,,BAIK,,,False,
,,Bed Dewasa,Paramount,Oxy 9 Wave,-,,5,,,Irna Anak,,BAIK,,,False,
,,Bedside Cabinet,Paramount,11.82.00.07.03.1022.0809,-,,14,,,Irna Anak,,BAIK,,,False,
,,Electric suction,SANI ASPIMED,SN703A-D,113200070320130000,2023,2,APBD 2023,34894500.0,Irna Anak,,BAIK,,TERDATA,False,
,,Infus Pump,B Braun,Innocare-T12,-24043200355235,2013,2,,,Irna Anak,,BAIK,,,False,
,,Infus Pump,Frensius Kobi,BeneHeart-12A,,2013,2,,,Irna Anak,,RUSAK RINGAN,,,False,
,,Monitor lengkap,Dixion,Stroom 5900-05,02.08.0101.05.009,2023,2,DAK 2023,105896000.0,Irna Anak,,BAIK,,TERDATA,False,
,,Nebulizer,OMRON,SN703A-D,23495783,2018,1,,,Irna Anak,,RUSAK RINGAN,,,False,
,,Nebulizer,OMRON,SN703A-D,20121100022AF,2013,1,,,Irna Anak,,BAIK,,,False,
,,Oksigen Konsentrat,YUWELL,,,2020,1,,,Irna Anak,,BAIK,,,False,
,,Pulse oximeter,Bionet,Oxy 9 Wave,11.32.00.07.03.2023.05.30,2023,2,APBD 2023,8258823.0,Irna Anak,,BAIK,,TERDATA,False,
,,Regulator O2,-,,-,,4,,,Irna Anak,,BAIK,,,False,
