No,Nama Barang,Merk,Tipe,Seri Number,Tahun,Ruang Pemilik,Lokasi Fisik saat Ini,Kondisi,Status Kalibrasi,Tanggal Kalibrasi Terakhir,Keterangan
135,Infus Pump,B-Braun,Perfusor Space,-,2013,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
136,Intubasi Set,,,,,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
137,Intybasi Set Dewasa,,,,,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
138,Lampu Tindakan,Famed,-,-,2023,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
139,Mesin EKG 12 Lead,- Mindray,- Beneheart R 12A,-,2021,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
140,Mesin EKG 12 Lead,- Mindray,- Beneheart R 12A,-,2021,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
141,Mesin EKG 12 Lead,- Mindray,- Beneheart R 12A,-,2021,IGD,Poli,Baik,BELUM DIKALIBRASI,Belum ada data,
142,Mesin EKG 12 Lead,- Mindray,- Beneheart R 12A,-,2021,IGD,Poli,Baik,BELUM DIKALIBRASI,Belum ada data,
143,Mesin EKG 12 Lead,- Innomed,- HeartScreen,-,2023,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
144,Nebulizer,Omron,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
145,Oksigen konsentrat,Krober,-,-,2021,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
146,Oksigen konsentrat,Krober,-,-,2021,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
147,Oksigen konsentrat,Krober,-,-,2021,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
148,Pispot stainles/ plastik,-,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
149,Pulse oximeter,- Bionet,Oxy 9 Wave,-,2023,IGD,IGD,Baik,SUDAH DIKALIBRASI,Belum ada data,
150,Pulse oximeter,- Bionet,Oxy 9 Wave,-,2023,IGD,IGD,Baik,SUDAH DIKALIBRASI,Belum ada data,
151,Pulse oximeter,- Bionet,Oxy 9 Wave,-,2023,IGD,IGD,Baik,SUDAH DIKALIBRASI,Belum ada data,
152,Pulse oximeter,- Mindray,PM-60,CR 19250581-1,2021,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
153,Pulse oximeter,- Mindray,PM-60,CR 19250581-2,2021,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
154,Regulator Oksigen,,-,-,2018/2021,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
155,Regulator Oksigen,,-,-,2018/2021,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
156,Regulator Oksigen,,-,-,2018/2022,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
157,Regulator Oksigen,,-,-,2018/2022,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
158,Regulator Oksigen,,-,-,2018/2022,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
159,Regulator Oksigen Central,RMS,-,-,-,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
160,Regulator Oksigen Central,RMS,-,-,-,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
161,Regulator Oksigen Central,RMS,-,-,-,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
162,Regulator Oksigen Central,RMS,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
163,Regulator Oksigen Central,RMS,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
164,Regulator Oksigen Central,RMS,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
165,Regulator Oksigen Central,RMS,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
166,Regulator Oksigen Central,RMS,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
167,Regulator Oksigen Central,RMS,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
168,Set ETT Anak,-,-,-,-,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
169,Set ETT Dewasa,-,-,-,-,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
